,0,1
0,ALCAM|1,AREG_P15514
1,ALCAM|1,BMP2_P12643
2,ALCAM|1,DLL4_Q9NR61
3,ALCAM|1,GPNMB|1_Q14956|1
4,ALCAM|1,IGF1|1_P05019|1
5,ALCAM|1,IL15|IL15S48AA_P40933|1
6,ALCAM|1,IL7|1_P13232|1
7,ALCAM|1,JAG2|Long_Q9Y219|1
8,ALCAM|1,SHH_Q15465
9,BCAN|1,ANGPT2|1_O15123|1
10,BCAN|1,AREG_P15514
11,BCAN|1,BMP2_P12643
12,BCAN|1,BMP3_P12645
13,BCAN|1,BMP4_P12644
14,BCAN|1,DLL1|1_O00548|1
15,BCAN|1,DLL4_Q9NR61
16,BCAN|1,FBS_pubchemsid56314508
17,BCAN|1,GPNMB|1_Q14956|1
18,BCAN|1,HGF|1_P14210|1
19,BCAN|1,IGF1|1_P05019|1
20,BCAN|1,IGFBP3|1_P17936|1
21,BCAN|1,IL15|IL15S48AA_P40933|1
22,BCAN|1,IL1B_P01584
23,BCAN|1,NRG1|10_Q02297|10
24,BCAN|1,Wnt5a|1_P22725|1
25,BGN,AREG_P15514
26,BGN,BMP2_P12643
27,BGN,CXCL12|Beta_P48061|1
28,BGN,DLL1|1_O00548|1
29,BGN,GPNMB|1_Q14956|1
30,BGN,IL15|IL15S48AA_P40933|1
31,BGN,NRG1|10_Q02297|10
32,CD44|1,AREG_P15514
33,CD44|1,BMP2_P12643
34,CD44|1,BMP4_P12644
35,CD44|1,DLL1|1_O00548|1
36,CD44|1,GPNMB|1_Q14956|1
37,CD44|1,IL15|IL15S48AA_P40933|1
38,CD44|1,PTN_P21246
39,CD44|1,SHH_Q15465
40,CDH15,BMP2_P12643
41,CDH15,CTGF|1_P29279|1
42,CDH15,CXCL12|Beta_P48061|1
43,CDH15,DLL1|1_O00548|1
44,CDH15,GPNMB|1_Q14956|1
45,CDH15,IGF1|1_P05019|1
46,CDH15,IL1B_P01584
47,CDH15,IL7|1_P13232|1
48,CDH15,JAG2|Long_Q9Y219|1
49,CDH15,KITLG|1_P21583|1
50,CDH15,NRG1|10_Q02297|10
51,CDH15,VEGFA|VEGF206_P15692|1
52,CDH15,WNT3A|1_P56704|1
53,CDH15,Wnt5a|1_P22725|1
54,CDH1|1,BMP2_P12643
55,CDH1|1,CXCL12|Alpha_P48061|2
56,CDH1|1,DLL1|1_O00548|1
57,CDH1|1,GPNMB|1_Q14956|1
58,CDH1|1,IGF1|1_P05019|1
59,CDH1|1,IL15|IL15S48AA_P40933|1
60,CDH1|1,JAG2|Long_Q9Y219|1
61,CDH1|1,NRG1|10_Q02297|10
62,CDH1|1,SHH_Q15465
63,CDH1|1,WNT10A_Q9GZT5
64,CDH20,AREG_P15514
65,CDH20,BMP2_P12643
66,CDH20,CXCL12|Beta_P48061|1
67,CDH20,GPNMB|1_Q14956|1
68,CDH20,IGF1|1_P05019|1
69,CDH20,IL15|IL15S48AA_P40933|1
70,CDH20,NRG1|10_Q02297|10
