,0,1
0,ALCAM|1,BMP5|1_P22003|1
1,ALCAM|1,CSF2_P04141
2,ALCAM|1,FGF2|3_P09038|2
3,ALCAM|1,PTN_P21246
4,BCAN|1,BMP5|1_P22003|1
5,BCAN|1,CSF2_P04141
6,BCAN|1,FBS_pubchemsid56314508
7,BGN,BMP5|1_P22003|1
8,BGN,CSF2_P04141
9,BGN,FBS_pubchemsid56314508
10,BGN,FGF2|3_P09038|2
11,BGN,Wnt5a|1_P22725|1
12,CD44|1,BMP5|1_P22003|1
13,CD44|1,CSF2_P04141
14,CD44|1,FGF2|3_P09038|2
15,CD44|1,NRG1|1_Q02297|1
16,CDH15,BMP5|1_P22003|1
17,CDH15,CSF2_P04141
18,CDH15,DLL1|1_O00548|1
19,CDH15,FBS_pubchemsid56314508
20,CDH1|1,BMP5|1_P22003|1
21,CDH1|1,CSF2_P04141
22,CDH1|1,NRG1|1_Q02297|1
23,CDH20,BMP5|1_P22003|1
24,CDH20,BMP6_P22004
25,CDH20,CSF2_P04141
26,CDH20,PTN_P21246
27,CDH20,THPO|1_P40225|1
28,CDH3|1,BMP2_P12643
29,CDH3|1,BMP5|1_P22003|1
30,CDH3|1,CSF2_P04141
31,CDH3|1,FBS_pubchemsid56314508
32,CDH6|1,BMP5|1_P22003|1
33,CDH6|1,BMP6_P22004
34,CDH6|1,CSF2_P04141
35,CDH8,ANGPT2|1_O15123|1
36,CDH8,BMP5|1_P22003|1
37,CDH8,CSF2_P04141
38,CDH8,THPO|1_P40225|1
39,CEACAM6,BMP5|1_P22003|1
40,CEACAM6,BMP6_P22004
41,CEACAM6,CSF2_P04141
42,CEACAM6,CXCL12|Alpha_P48061|2
43,CEACAM6,FGF2|3_P09038|2
44,COL1,BMP5|1_P22003|1
45,COL1,CSF2_P04141
46,COL1,CXCL12|Alpha_P48061|2
47,COL23A1|1,CSF2_P04141
48,COL23A1|1,PDGFAB_go1990265
49,COL23A1|1,TGFB2|A_P61812|1
50,COL23A1|1,TNFSF11|1_O14788|1
51,COL2A1|2,BMP5|1_P22003|1
52,COL2A1|2,CSF2_P04141
53,COL2A1|2,FGF2|3_P09038|2
54,COL2A1|2,FGF6_P10767
55,COL2A1|2,NRG1|1_Q02297|1
56,COL2A1|2,PTN_P21246
57,COL3A1|1,BMP5|1_P22003|1
58,COL3A1|1,CSF2_P04141
59,COL3A1|1,FGF2|3_P09038|2
60,COL3A1|1,FGF6_P10767
61,COL3A1|1,PTN_P21246
62,COL3A1|1,TNFSF11|1_O14788|1
63,COL4,BMP5|1_P22003|1
64,COL4,BMP6_P22004
65,COL4,CSF2_P04141
66,COL4,FGF2|3_P09038|2
67,COL4,IL6_P05231
68,COL4,NRG1|1_Q02297|1
69,COL4,PTN_P21246
70,COL5A1,BMP5|1_P22003|1
71,COL5A1,BMP6_P22004
72,COL5A1,CSF2_P04141
73,COL5A1,DLL4_Q9NR61
74,COL5A1,FGF2|3_P09038|2
75,COL5A1,IGF1|1_P05019|1
76,COL5A1,NRG1|1_Q02297|1
77,COL5A1,PDGFAB_go1990265
78,COL5A1,PTN_P21246
79,COL5A1,TNFSF11|1_O14788|1
80,COL5A1,WNT10A_Q9GZT5
81,DCN|A,CSF2_P04141
82,DCN|A,DLL4_Q9NR61
83,DCN|A,FBS_pubchemsid56314508
84,DCN|A,TGFB2|A_P61812|1
85,DSG2,BMP5|1_P22003|1
86,DSG2,BMP6_P22004
87,DSG2,CSF2_P04141
88,DSG2,FBS_pubchemsid56314508
89,DSG2,FGF2|3_P09038|2
90,DSG2,PTN_P21246
91,ECM1|1,BMP5|1_P22003|1
